"repeat_id","arm","auroc","pr_auc","balanced_accuracy","mcc","sensitivity","specificity","brier_score"
9,"leaky_global_selection",0.793560205735221,0.409675925405587,0.546079053054322,0.145168579836331,0.140350877192982,0.951807228915663,0.128532599549307
10,"leaky_global_selection",0.786655393503841,0.474696638300348,0.602726696258719,0.29752279363702,0.245614035087719,0.959839357429719,0.124558408056468
11,"leaky_global_selection",0.772775311773409,0.383056509804312,0.595434369055168,0.239570649444242,0.263157894736842,0.927710843373494,0.134832626709511
12,"leaky_global_selection",0.768618332981047,0.445701019068508,0.6285140562249,0.30343001107967,0.333333333333333,0.923694779116466,0.129889520382136
13,"leaky_global_selection",0.768900162051716,0.404385035092321,0.58993870217713,0.255676344925867,0.228070175438596,0.951807228915663,0.131952230597973
14,"leaky_global_selection",0.815049672373704,0.488545527558994,0.596702599873177,0.265473553848358,0.245614035087719,0.947791164658635,0.121928400651704
15,"leaky_global_selection",0.81519058690904,0.444282109916299,0.576410906785035,0.23533708689186,0.192982456140351,0.959839357429719,0.124261863887378
16,"leaky_global_selection",0.801240047910943,0.441464306271665,0.616254491650814,0.313960798431293,0.280701754385965,0.951807228915663,0.125680879158661
17,"leaky_global_selection",0.78517579088283,0.404343502705911,0.579158740224054,0.225031236603378,0.210526315789474,0.947791164658635,0.130486051477908
18,"leaky_global_selection",0.748749383498907,0.385978469452765,0.576410906785035,0.23533708689186,0.192982456140351,0.959839357429719,0.133432108990077
19,"leaky_global_selection",0.777143662368774,0.410118880741817,0.567638976960473,0.213091493337733,0.175438596491228,0.959839357429719,0.130062232240868
20,"leaky_global_selection",0.810258578172339,0.41864472204264,0.559606848446417,0.172636682727654,0.175438596491228,0.943775100401606,0.126692980084711
21,"leaky_global_selection",0.776720918762771,0.396380125946905,0.581166772352568,0.235079738182337,0.210526315789474,0.951807228915663,0.131291118102944
22,"leaky_global_selection",0.739942225040512,0.365251389508813,0.546079053054322,0.145168579836331,0.140350877192982,0.951807228915663,0.141912013133491
23,"leaky_global_selection",0.772704854505743,0.367415821953337,0.561614880574931,0.181968230666937,0.175438596491228,0.947791164658635,0.135128506127347
24,"leaky_global_selection",0.786584936236173,0.418513721591104,0.532551257662228,0.113861232238426,0.105263157894737,0.959839357429719,0.128402600545476
25,"leaky_global_selection",0.801240047910944,0.446572727998179,0.569647009088988,0.22472522249598,0.175438596491228,0.963855421686747,0.124128006819076
26,"leaky_global_selection",0.777777777777778,0.400268942350017,0.563622912703445,0.19178301160715,0.175438596491228,0.951807228915663,0.131537314587927
27,"leaky_global_selection",0.744310575635876,0.362651865969964,0.561614880574931,0.181968230666937,0.175438596491228,0.947791164658635,0.137342892559948
28,"leaky_global_selection",0.784893961812161,0.401436615425584,0.586662439230607,0.220519873739885,0.245614035087719,0.927710843373494,0.130940449917442
29,"leaky_global_selection",0.792221517649545,0.426906707378856,0.591946734305644,0.266301265909679,0.228070175438596,0.955823293172691,0.129142070587194
30,"leaky_global_selection",0.774607200732755,0.413234021874929,0.565630944831959,0.202136004093839,0.175438596491228,0.955823293172691,0.128546743149595
