"repeat_id","outer_fold","arm","best_cost","cost","mean_inner_balanced_accuracy"
10,2,"guarded_within_partition",1,4,0.557991452991453
10,3,"leaky_global_selection",0.25,0.25,0.547863247863248
10,3,"leaky_global_selection",0.25,1,0.523141025641026
10,3,"leaky_global_selection",0.25,4,0.520641025641026
10,3,"guarded_within_partition",1,0.25,0.555213675213675
10,3,"guarded_within_partition",1,1,0.566324786324786
10,3,"guarded_within_partition",1,4,0.552713675213675
10,4,"leaky_global_selection",0.25,0.25,0.530833333333333
10,4,"leaky_global_selection",0.25,1,0.513611111111111
10,4,"leaky_global_selection",0.25,4,0.512222222222222
10,4,"guarded_within_partition",0.25,0.25,0.533333333333333
10,4,"guarded_within_partition",0.25,1,0.523333333333333
10,4,"guarded_within_partition",0.25,4,0.528333333333333
10,5,"leaky_global_selection",0.25,0.25,0.578354700854701
10,5,"leaky_global_selection",0.25,1,0.557649572649573
10,5,"leaky_global_selection",0.25,4,0.566260683760684
10,5,"guarded_within_partition",4,0.25,0.528910256410256
10,5,"guarded_within_partition",4,1,0.556132478632479
10,5,"guarded_within_partition",4,4,0.56974358974359
11,1,"leaky_global_selection",4,0.25,0.557713675213675
11,1,"leaky_global_selection",4,1,0.53292735042735
11,1,"leaky_global_selection",4,4,0.557777777777778
11,1,"guarded_within_partition",0.25,0.25,0.544166666666667
11,1,"guarded_within_partition",0.25,1,0.527991452991453
11,1,"guarded_within_partition",0.25,4,0.524380341880342
11,2,"leaky_global_selection",0.25,0.25,0.627222222222222
11,2,"leaky_global_selection",0.25,1,0.570277777777778
11,2,"leaky_global_selection",0.25,4,0.61465811965812
11,2,"guarded_within_partition",1,0.25,0.511688034188034
11,2,"guarded_within_partition",1,1,0.522863247863248
11,2,"guarded_within_partition",1,4,0.512863247863248
11,3,"leaky_global_selection",0.25,0.25,0.524444444444444
11,3,"leaky_global_selection",0.25,1,0.515833333333333
11,3,"leaky_global_selection",0.25,4,0.524444444444444
11,3,"guarded_within_partition",0.25,0.25,0.608333333333333
11,3,"guarded_within_partition",0.25,1,0.57
